Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date,Quarter,Month,Year
SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2013,JAN FY2013,63,01-01-2013,2,1,2013
TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2013,JAN FY2013,18921,01-01-2013,2,1,2013
SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2013,FEB FY2013,31,01-02-2013,3,2,2013
TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2013,FEB FY2013,12810,01-02-2013,3,2,2013
SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2013,MAR FY2013,61,01-03-2013,3,3,2013
TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2013,MAR FY2013,14069,01-03-2013,3,3,2013
SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2013,APR FY2013,25,01-04-2013,3,4,2013
SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2013,APR FY2013,104,01-04-2013,3,4,2013
TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2013,APR FY2013,36158,01-04-2013,3,4,2013
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,MAY FY2013,27,01-05-2013,4,5,2013
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2013,MAY FY2013,19,01-05-2013,4,5,2013
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,MAY FY2013,13622,01-05-2013,4,5,2013
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,JUN FY2013,38,01-06-2013,4,6,2013
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2013,JUN FY2013,57,01-06-2013,4,6,2013
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,JUN FY2013,18436,01-06-2013,4,6,2013
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,JUL FY2013,77,01-07-2013,4,7,2013
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2013,JUL FY2013,59,01-07-2013,4,7,2013
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2013,JUL FY2013,87,01-07-2013,4,7,2013
